condition,friction,successes,crashes,rate,avg_time
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
,0,0,20,0,00,0,00
